libdbusmenu-glib 16.04.0-5.1
libdbusmenu-gtk3 16.04.0-5.1
libdc1394 2.2.6-2.1
libdca 0.0.7-1.1
libde265 1.0.9-1.1
libdiscid 0.6.2-3.1
libdrm 2.4.114-1.1
libdv 1.0.0-9.1
libdvdnav 6.1.1-1.1
libdvdread 6.1.3-1.1
libedit 20210910_3.1-1.2
libelf 0.187-2
libepoxy 1.5.10-1.1
libev 4.33-1.1
libevdev 1.13.0-1.1
libevent 2.1.12-4
libexif 0.6.24-1.1
libfdk-aac 2.0.2-1.1
libffi 3.4.4-1.1
libfm 1.3.2-1.1
libfm-extra 1.3.2-1.1
libfm-gtk3 1.3.2-1.1
libfontenc 1.1.6-1.1
libfreeaptx 0.1.1-1.1
libftdi 1.5-4.2
libgccjit 12.2.0-1
libgcrypt 1.10.1-1.1
libgee 0.20.6-1.1
libgexiv2 0.14.0-3.2
libgit2 1:1.5.0-2
libglvnd 1.5.0-1.1
libgme 0.6.3-1.1
libgpg-error 1.46-1.1
libgudev 237-2.1
libgusb 0.4.2-1.1
libhandy 1.8.0-1.1
libheif 1.13.0-2.1
libibus 1.5.27-1.1
libical 3.0.16-2.1
libice 1.0.10-4.1
libid3tag 0.15.1b-11.1
libidn 1.41-1.1
libidn2 2.3.4-3.1
libiec61883 1.2.0-6.1
libimagequant 4.0.4-1
libimobiledevice 1.3.0-5.1
libindicator-gtk3 12.10.1-10.1
libinih 56-1.1
libinput 1.21.0-1.1
libinstpatch 1.1.6-1.1
libisl 0.25-1.1
libjcat 0.1.12-1.1
libjpeg-turbo 2.1.4-2.1
libjxl 0.7.0-3.1
libkate 0.4.1-8.1
libksba 1.6.2-1.1
libldac 2.0.2.3-1.1
libldap 2.6.3-2
liblouis 3.23.0-1.1
liblqr 0.4.2-3.1
liblrdf 0.6.1-4.1
libltc 1.3.2-1.1
libmad 0.15.1b-9.1
libmanette 0.2.6-3.1
libmbim 1.28.0-1.1
libmd 1.0.4-1.1
libmfx 22.4.4-1
libmicrodns 0.2.0-1.1
libmicrohttpd 0.9.75-1.2
libmikmod 3.3.11.1-6.1
libmm-glib 1.20.0-1.1
libmms 0.6.4-3.1
libmng 2.0.3-3.1
libmnl 1.0.5-1.1
libmodplug 0.8.9.0-3.1
libmpc 1.2.1-2.1
libmpcdec 1:0.1+r475-3.2
libmpdclient 2.20-2
libmpeg2 0.5.1-7.1
libmtp 1.1.20-1.1
libmypaint 1.6.1-1.1
libndp 1.8-1.1
libnet 1:1.1.6-1.1
libnetfilter_conntrack 1.0.9-1.1
libnewt 0.52.21-8.2
libnfnetlink 1.0.2-1.1
libnfs 5.0.2-1.1
libnftnl 1.2.3-1.1
libnghttp2 1.50.0-1.1
libnice 0.1.19-1.1
libnl 3.7.0-1.1
libnm 1.40.2-1
libnotify 0.8.1-1.1
libnsgif 0.2.1-7.1
libnsl 2.0.0-2.2
libogg 1.3.5-1.1
libomxil-bellagio 0.9.3-3.1
libopenmpt 0.6.6-2.1
libotf 0.9.16-3.1
libp11-kit 0.24.1-1.2
libpaper 1.1.28-2.1
libpcap 1.10.1-2.2
libpciaccess 0.17-1.1
libpgm 5.3.128-2.1
libpipeline 1.5.6-1.1
libplacebo 4.208.0-1.1
libplist 2.2.0-5.1
libpng 1.6.38-1.1
libproxy 0.4.18-1.1
libpsl 0.21.1-3.1
libpulse 16.1-3.1
libqmi 1.32.0-1.1
libqrtr-glib 1.2.2-2.1
libraqm 0.9.0-1.1
libratbag 0.16-2.1
libraw 0.20.2-2
libraw1394 2.1.2-3.1
librevenge 0.0.4-4.1
librsvg 2:2.55.1-1
librsync 1:2.3.2-1.1
libsamplerate 0.2.2-1.1
libsasl 2.1.28-3.1
libseccomp 2.5.4-1.1
libsecret 0.20.5-2.1
libshout 1:2.4.6-2.1
libsidplay 1.36.59-10.1
libsidplayfp 2.4.0-1.1
libsigc++ 2.10.8-1.1
libsigsegv 2.14-1.1
libsm 1.2.3-3.1
libsmbios 2.4.3-5.1
libsndfile 1.1.0-3.1
libsodium 1.0.18-2.1
libsoup 2.74.3-1
libsoup3 3.2.2-1.1
libsoxr 0.1.3-2.1
libspiro 1:20221101-1.1
libsrtp 1:2.4.2-1.1
libssh 0.10.4-3.1
libssh2 1.10.0-3.2
libstemmer 2.2.0-2.1
